RHS,R,G,B,L,a,b,L2,C,h
129C,127,200,181,76,-27,2,76,27,177
129D,180,216,205,84,-14,1,84,14,177
130A,57,177,133,65,-43,13,65,45,164
130B,120,195,164,73,-30,8,73,31,166
130C,153,205,184,78,-21,5,78,21,169
130D,205,223,213,87,-8,2,87,8,165
131A,49,80,77,32,-12,-2,32,12,191
131B,44,99,82,38,-23,4,38,23,171
131C,38,111,90,42,-28,5,42,28,171
131D,56,140,117,53,-31,4,53,31,172
132A,40,96,78,37,-23,5,37,24,169
132B,34,107,87,40,-28,4,40,28,171
132C,59,136,113,51,-29,5,51,30,171
132D,103,174,142,66,-29,9,66,31,163
133A,62,90,84,36,-11,-1,36,11,182
133B,80,124,118,49,-16,-2,49,16,187
133C,108,151,145,59,-16,-2,59,16,188
133D,136,178,170,69,-16,-1,69,16,185
134A,-4,146,77,53,-49,27,53,56,151
134B,78,181,116,66,-44,24,66,50,152
134C,127,201,154,75,-33,15,75,36,155
134D,166,212,180,81,-21,10,81,23,154
N134A,43,93,68,35,-23,9,35,25,159
N134B,30,111,78,42,-32,11,41,34,161
N134C,-1,141,96,52,-44,15,52,46,161
N134D,75,167,128,62,-37,11,62,38,163
135A,49,86,70,33,-17,4,33,18,165
135B,45,104,79,40,-26,8,39,27,163
135C,80,145,101,55,-31,17,55,35,152
135D,144,191,146,73,-24,17,73,30,145
136A,60,86,78,34,-12,1,34,12,175
136B,73,102,87,41,-14,4,40,14,162
136C,107,146,117,57,-20,11,57,22,152
136D,168,200,174,78,-15,8,78,17,151
137A,83,104,78,42,-13,11,42,17,138
137B,91,111,81,45,-13,14,45,19,134
137C,102,123,89,49,-14,16,49,21,132
137D,108,136,98,54,-17,17,54,24,136
N137A,81,91,69,37,-8,11,37,14,127
N137B,82,94,70,38,-9,12,38,15,128
N137C,82,96,73,39,-10,11,39,15,132
N137D,83,99,75,40,-11,11,40,16,134
138A,99,125,86,50,-17,18,50,25,134
138B,127,149,109,59,-15,18,59,23,130
138C,155,179,142,70,-15,16,70,22,134
138D,173,195,158,76,-14,16,76,21,132
N138A,87,115,103,46,-13,3,46,13,167
N138B,99,120,100,48,-12,8,48,14,146
N138C,123,140,125,56,-9,5,56,10,149
N138D,121,146,132,58,-11,4,58,12,161
139A,65,86,72,35,-11,5,34,12,155
139B,88,122,91,48,-19,13,48,23,146
139C,123,151,109,60,-18,19,59,26,134
139D,165,184,141,72,-14,19,72,24,126
140A,53,162,71,59,-50,38,59,63,143
140B,105,185,96,68,-42,37,68,56,139
140C,142,207,143,77,-33,25,77,41,143
140D,181,217,177,83,-19,15,83,24,142
141A,61,110,65,42,-27,20,42,33,144
141B,66,115,71,44,-27,19,44,33,145
141C,107,156,92,59,-29,28,59,40,136
141D,149,192,121,73,-27,31,73,41,131
142A,149,202,108,76,-33,41,76,53,129
142B,159,201,125,77,-27,33,76,43,129
142C,189,217,161,84,-19,24,84,30,128
142D,206,229,190,89,-15,16,88,21,132
143A,97,136,75,53,-25,28,53,38,132
143B,110,151,74,58,-28,35,58,45,128
143C,128,159,83,62,-24,36,62,43,124
143D,160,194,138,75,-21,24,75,32,132
144A,118,138,59,55,-20,39,54,44,117
144B,145,169,80,66,-22,42,66,48,118
144C,162,183,88,71,-22,45,71,50,115
144D,190,210,140,81,-18,32,81,36,119
N144A,170,174,55,69,-16,57,69,59,106
N144B,182,195,28,76,-23,72,76,75,107
N144C,150,176,56,68,-26,56,68,61,115
N144D,178,195,103,76,-20,43,76,48,114
145A,166,184,98,72,-19,41,72,45,115
145B,180,197,123,77,-17,35,77,39,117
145C,209,214,159,84,-10,26,84,28,111
145D,221,225,191,88,-7,15,88,17,114
146A,99,108,65,44,-11,23,44,26,116
146B,115,124,75,50,-12,25,50,28,115
146C,136,143,84,58,-12,30,58,32,112
146D,150,156,96,63,-11,30,63,32,111
147A,82,90,70,37,-7,10,37,12,125
147B,111,121,87,49,-10,17,49,19,120
147C,148,152,113,62,-8,19,61,21,112
147D,175,186,147,74,-10,18,74,20,120
148A,114,115,82,48,-6,18,48,19,109
148B,127,132,100,54,-7,16,54,18,115
148C,157,163,130,66,-8,16,66,18,116
148D,169,177,145,71,-8,15,71,17,119
149A,176,214,91,81,-31,55,81,63,119
149B,191,221,117,84,-26,47,84,54,119
149C,199,228,142,87,-23,38,87,45,121
149D,226,232,192,91,-9,18,91,20,115
150A,205,225,78,86,-25,66,86,71,111
150B,214,223,105,86,-19,55,86,58,109
150C,223,229,133,89,-16,46,89,48,109
150D,243,236,198,93,-4,19,93,19,100
151A,186,179,66,72,-11,56,71,57,101
151B,198,192,54,76,-13,66,76,67,101
151C,210,207,71,81,-15,65,81,66,103
151D,213,210,91,82,-14,58,82,59,103
152A,128,117,56,49,-4,34,49,34,97
152B,136,125,57,52,-5,38,52,38,97
152C,156,142,50,59,-5,48,59,49,97
152D,173,155,75,64,-3,43,64,44,94
153A,174,159,47,65,-7,57,65,57,97
153B,190,169,52,69,-5,59,69,59,95
153C,200,178,53,73,-5,63,72,63,95
153D,209,185,78,75,-4,55,75,55,94
154A,211,219,66,85,-21,70,84,73,106
154B,223,224,92,87,-17,62,87,64,105
154C,230,232,134,90,-14,47,90,49,107
154D,234,234,161,91,-10,35,91,36,107
155A,241,231,220,92,2,6,92,6,71
155B,246,235,228,94,3,4,94,5,52
155C,239,232,229,93,2,2,92,3,32
155D,250,236,230,94,4,4,94,5,42
N155A,226,220,238,89,6,-9,89,11,302
N155B,242,226,238,92,8,-5,92,9,329
N155C,244,224,231,91,8,-2,91,8,348
N155D,245,229,233,92,6,-1,92,6,352
NN155A,248,237,232,95,3,3,94,4,41
NN155B,248,238,241,95,4,-1,95,5,344
NN155C,247,238,248,95,5,-5,95,7,318
NN155D,251,242,252,96,5,-5,96,7,318
156A,201,188,175,77,3,7,77,8,70
156B,211,199,189,81,3,6,81,6,64
156C,213,202,194,82,3,5,82,5,58
156D,224,213,208,86,3,3,86,4,42
157A,228,222,201,88,-1,10,88,10,96
157B,230,225,209,90,0,8,89,8,95
157C,237,231,218,92,0,6,92,6,88
157D,244,237,228,94,1,5,94,5,74
158A,245,221,189,89,4,18,89,19,78
158B,251,232,206,93,3,14,93,14,79
158C,250,232,216,93,4,9,93,10,67
158D,252,235,224,94,4,7,94,8,56
159A,247,214,186,88,8,17,88,19,66
159B,249,219,196,89,7,14,89,16,63
159C,243,222,207,90,5,10,90,11,60
159D,249,232,221,93,4,7,93,8,56
160A,218,200,119,81,-4,42,80,42,96
160B,225,204,138,82,-2,35,82,35,93
160C,225,209,159,84,-2,26,84,26,94
160D,225,210,175,85,0,18,84,18,90
161A,214,180,119,75,5,35,75,35,83
161B,225,190,127,79,4,36,79,36,83
161C,230,200,155,82,5,26,82,26,80
161D,236,210,175,86,4,20,86,20,78
162A,222,183,99,76,5,47,76,47,85
162B,229,195,122,80,3,40,80,41,86
162C,227,197,141,81,3,31,81,32,84
162D,229,206,163,84,2,24,84,24,85
163A,202,136,45,62,18,56,62,58,72
